R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country_code,Winner,title_bout,weight_class,gender,no_of_rounds,B_losses,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_losses,R_wins,R_age,B_age,total_fight_time_secs,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,City,State
Thiago Santos,Johnny Walker,-150,130,66.66666666666666,130.0,2021-10-02,"Las Vegas, Nevada, USA",US,Red,False,LHW,MALE,5,2,5,Orthodox,198.12,208.28,205,8,13,37,29,1500.0,Orthodox,187.96,193.04,205,Las Vegas,Nevada
Alex Oliveira,Niko Price,170,-200,170.0,50.0,2021-10-02,"Las Vegas, Nevada, USA",US,Blue,False,WW,MALE,3,5,6,Orthodox,182.88,193.04,170,8,11,33,32,900.0,Orthodox,180.34,193.04,170,Las Vegas,Nevada
Misha Cirkunov,Krzysztof Jotko,110,-130,110.0,76.92307692307693,2021-10-02,"Las Vegas, Nevada, USA",US,Blue,False,MW,MALE,3,5,9,Southpaw,185.42,195.58,185,4,6,34,32,900.0,Orthodox,190.5,195.58,205,Las Vegas,Nevada
Alexander Hernandez,Mike Breeden,-675,475,14.814814814814811,475.0,2021-10-02,"Las Vegas, Nevada, USA",US,Red,False,LW,MALE,3,1,0,Orthodox,177.8,177.8,155,3,4,29,32,80.0,Orthodox,175.26,182.88,155,Las Vegas,Nevada
Joe Solecki,Jared Gordon,-135,115,74.07407407407408,115.0,2021-10-02,"Las Vegas, Nevada, USA",US,Blue,False,LW,MALE,3,3,5,Orthodox,175.26,172.72,145,0,4,28,33,900.0,Orthodox,175.26,177.8,155,Las Vegas,Nevada
Antonina Shevchenko,Casey O'Neill,215,-265,215.0,37.735849056603776,2021-10-02,"Las Vegas, Nevada, USA",US,Blue,False,WFLY,FEMALE,3,0,2,Orthodox,167.64,175.26,125,3,4,36,23,587.0,Southpaw,172.72,170.18,125,Las Vegas,Nevada
Bethe Correia,Karol Rosa,500,-720,500.0,13.88888888888889,2021-10-02,"Las Vegas, Nevada, USA",US,Blue,False,WBW,FEMALE,3,0,3,Orthodox,165.1,170.18,135,5,5,38,26,900.0,Orthodox,165.1,162.56,135,Las Vegas,Nevada
Devonte Smith,Jamie Mullarkey,-155,135,64.51612903225806,135.0,2021-10-02,"Las Vegas, Nevada, USA",US,Blue,False,LW,MALE,3,2,1,Orthodox,182.88,187.96,155,1,4,28,27,471.0,Orthodox,175.26,193.04,155,Las Vegas,Nevada
Douglas Silva de Andrade,Gaetano Pirrello,-280,225,35.714285714285715,225.0,2021-10-02,"Las Vegas, Nevada, USA",US,Red,False,BW,MALE,3,1,0,Orthodox,170.18,165.1,135,4,4,36,29,124.0,Orthodox,170.18,172.72,145,Las Vegas,Nevada
Stephanie Egger,Shanna Young,-155,135,64.51612903225806,135.0,2021-10-02,"Las Vegas, Nevada, USA",US,Red,False,WBW,FEMALE,3,2,0,Orthodox,170.18,165.1,135,1,0,33,30,442.0,Orthodox,167.64,172.72,135,Las Vegas,Nevada
Alejandro Perez,Johnny Eduardo,-300,235,33.33333333333333,235.0,2021-10-02,"Las Vegas, Nevada, USA",US,Red,False,BW,MALE,3,4,3,Orthodox,170.18,180.34,135,3,7,32,43,553.0,Orthodox,167.64,165.1,145,Las Vegas,Nevada
Alexander Volkanovski,Brian Ortega,-180,155,55.55555555555556,155.0,2021-09-25,"Las Vegas, Nevada, USA",US,Red,True,FW,MALE,5,1,7,Switch,172.72,175.26,145,0,9,32,30,1500.0,Orthodox,167.64,180.34,145,Las Vegas,Nevada
Valentina Shevchenko,Lauren Murphy,-1375,800,7.272727272727272,800.0,2021-09-25,"Las Vegas, Nevada, USA",US,Red,True,WFLY,FEMALE,5,4,7,Orthodox,165.1,170.18,125,2,10,33,38,1140.0,Southpaw,165.1,167.64,125,Las Vegas,Nevada
Nick Diaz,Robbie Lawler,140,-160,140.0,62.5,2021-09-25,"Las Vegas, Nevada, USA",US,Blue,False,MW,MALE,3,14,19,Southpaw,180.34,187.96,170,7,19,38,39,644.0,Southpaw,185.42,193.04,170,Las Vegas,Nevada
Curtis Blaydes,Jairzinho Rozenstruik,-380,290,26.31578947368421,290.0,2021-09-25,"Las Vegas, Nevada, USA",US,Red,False,HW,MALE,3,2,6,Orthodox,187.96,198.12,242,3,9,30,33,900.0,Orthodox,193.04,203.2,265,Las Vegas,Nevada
Jessica Andrade,Cynthia Calvillo,-220,180,45.45454545454545,180.0,2021-09-25,"Las Vegas, Nevada, USA",US,Red,False,WFLY,FEMALE,3,2,6,Orthodox,162.56,162.56,125,7,12,30,34,294.0,Orthodox,154.94,157.48,125,Las Vegas,Nevada
Marlon Moraes,Merab Dvalishvili,245,-310,245.0,32.25806451612903,2021-09-25,"Las Vegas, Nevada, USA",US,Blue,False,BW,MALE,3,2,6,Orthodox,167.64,172.72,135,4,5,33,30,565.0,Orthodox,167.64,170.18,135,Las Vegas,Nevada
Dan Hooker,Nasrat Haqparast,-150,130,66.66666666666666,130.0,2021-09-25,"Las Vegas, Nevada, USA",US,Red,False,LW,MALE,3,2,5,Southpaw,177.8,182.88,155,6,10,31,26,900.0,Switch,182.88,190.5,155,Las Vegas,Nevada
Shamil Abdurakhimov,Chris Daukaus,180,-220,180.0,45.45454545454545,2021-09-25,"Las Vegas, Nevada, USA",US,Blue,False,HW,MALE,3,0,3,Orthodox,190.5,193.04,250,3,5,40,32,383.0,Orthodox,190.5,193.04,235,Las Vegas,Nevada
Roxanne Modafferi,Taila Santos,300,-400,300.0,25.0,2021-09-25,"Las Vegas, Nevada, USA",US,Blue,False,WFLY,FEMALE,3,1,3,Orthodox,167.64,172.72,125,8,4,39,28,900.0,Orthodox,170.18,175.26,125,Las Vegas,Nevada
Uros Medic,Jalin Turner,-115,-105,86.95652173913044,95.23809523809524,2021-09-25,"Las Vegas, Nevada, USA",US,Blue,False,LW,MALE,3,2,4,Southpaw,190.5,195.58,155,0,2,28,26,241.0,Southpaw,185.42,180.34,155,Las Vegas,Nevada
